drink_wat,water_time,toilet,hh_gps_latitude,hh_gps_longitude,Country
999995,999995,999995,7.62896,-8.306818333,LR
3,10,3,7.631868333,-8.463805,LR
8,10,3,7.633871667,-8.79782,GN
5,25,10,7.634368333,-8.850931667,GN
3,60,10,7.637156667,-9.187115,GN
7,45,10,7.638315,-8.792878333,GN
7,20,10,7.639545,-8.763951667,GN
7,30,10,7.640113333,-8.885771667,GN
11,30,10,7.640253333,-9.228313333,GN
3,30,10,7.640513333,-8.799686667,GN
7,15,3,7.64344,-8.795428333,GN
3,30,3,7.647096667,-8.506553333,LR
3,30,8,7.647278333,-8.506155,LR
999995,999995,999995,7.647293333,-8.507128333,LR
999995,999995,999995,7.647333333,-8.51041,LR
3,20,6,7.647333333,-8.506203333,LR
3,60,3,7.64742,-8.509708333,LR
3,30,3,7.64757,-8.509708333,LR
3,50,10,7.647628333,-8.507618333,LR
3,90,97,7.648291667,-8.507036667,LR
3,50,10,7.648506667,-8.507211667,LR
3,60,8,7.649938333,-8.50453,LR
3,30,8,7.650131667,-8.503458333,LR
3,30,10,7.651605,-8.525998333,LR
3,30,10,7.651688333,-8.526021667,LR
3,20,10,7.651823333,-8.865065,GN
7,30,10,7.65302,-9.156801667,GN
3,20,10,7.653213333,-8.54918,LR
7,30,10,7.65381,-9.15559,GN
8,30,3,7.654983333,-8.301488333,LR
3,60,10,7.655773333,-9.157811667,GN
8,30,8,7.660701667,-8.288493333,LR
3,30,10,7.664095,-9.179101667,GN
8,40,10,7.664256667,-8.257448333,LR
7,30,10,7.66512,-8.191988333,LR
8,45,8,7.666946667,-8.296055,LR
3,30,10,7.667306667,-9.260735,GN
3,35,3,7.669788333,-9.291935,GN
8,10,10,7.670223333,-8.316573333,LR
8,20,10,7.670738333,-8.852386667,GN
3,5,5,7.672331667,-8.808666667,GN
3,10,10,7.676396667,-8.305568333,LR
7,40,10,7.676423333,-8.305335,LR
999995,999995,999995,7.677473333,-8.314451667,LR
3,30,10,7.677583333,-9.214251667,GN
3,15,3,7.67796,-8.507718333,LR
3,20,8,7.67881,-8.316258333,LR
3,30,10,7.678855,-8.316286667,LR
7,40,9,7.67887,-8.316233333,LR
999995,999995,999995,7.678881667,-8.316273333,LR
3,5,10,7.680175,-8.731215,GN
11,30,6,7.684085,-8.813748333,GN
8,20,10,7.68774,-8.317713333,GN
3,50,10,7.689076667,-9.221163333,GN
3,10,10,7.68984,-8.772863333,GN
11,23,1,7.690443333,-8.677895,GN
11,30,10,7.691205,-9.15969,GN
3,10,10,7.69292,-8.214038333,GN
8,30,5,7.693718333,-8.821036667,GN
8,40,10,7.696333333,-8.54815,GN
3,6,1,7.697246667,-8.690001667,GN
3,25,10,7.697663333,-8.507141667,GN
99,30,10,7.698915,-8.548951667,GN
