,lat,lon,tags_bed_count,tags_doctors_num,tags_nurses_num,tags_electricity,tags_operator,tags_water_source,tags_opening_hours,Country
68,6.9682603,-11.309824,5,0,2,solar,government,pub_tap,Mo-Fr 08:00-17:00,LR
69,7.8803862,-9.5100403,0,0,0,none,private_profit,pump_water,"""by appointment""",GN
70,7.0736367,-8.9923096,7,,1,none,government,unprotected_well,"Mo-Fr 08:00-17:00, Sa, Su",LR
71,8.0623527,-10.4996038,18,0,8,generator,ngo,pub_tap,"Mo-Fr 08:00-17:00, Sa, Su",SL
72,8.3616546,-10.2832031,3,0,2,solar,government,protected_well,24/7,SL
73,8.4419438,-9.9601056,7,0,2,solar,government,protected_well,Mo-Fr 08:00-17:00,LR
74,7.2300437,-8.9473396,1,1,,none,private_np,,"""by appointment""",LR
75,7.9137127,-9.5093536,1,0,0,none,private_profit,pump_water,"""by appointment""",GN
76,7.6550354,-9.4226271,10,1,9,solar,ngo,,,GN
77,7.6551045,-9.4229811,5,1,9,solar,ngo,protected_well,Mo-Fr 08:00-17:00,GN
78,7.8246092,-9.3981171,3,0,2,none,government,pump_water,Mo-Fr,GN
79,8.2339167,-10.2246666,2,0,1,solar,combination,pub_tap,24/7,SL
80,7.5748826,-8.5439301,3,,2,solar,,pub_tap,"Mo-Fr 08:00-17:00, Sa, Su",LR
81,6.9216554,-11.3880157,2,0,2,solar,government,pub_tap,24/7,LR
82,6.9727597,-11.4131534,2,0,1,none,private_profit,unprotected_spring,,LR
83,7.3393128,-9.4997406,4,0,1,generator,private_profit,unprotected_spring,"Mo-Fr 08:00-17:00, Sa, Su",GN
84,7.4977704,-9.621824,5,0,7,solar,,protected_well,"Mo-Fr 08:00-17:00, Sa, Su",GN
85,7.5204269,-9.4798279,7,0,3,solar,,protected_well,"Mo-Fr 08:00-17:00, Sa, Su",GN
86,7.5456135,-8.5597229,8,,2,solar,private_profit,protected_spring,"Mo-Fr 08:00-17:00, Sa, Su",LR
87,7.6150393,-9.4935608,5,Not Available,9,solar,government,protected_well,Mo-Fr 08:00-17:00,GN
88,7.8763052,-9.4866943,0,0,0,flash_light,private_np,pump_water,,GN
89,8.058401,-10.4943466,17,,,solar,,pub_tap,"Mo-Fr 08:00-17:00, Sa, Su",SL
90,8.3895068,-10.0662231,2,,2,solar,government,piped,Mo-Fr 08:00-17:00,GN
91,7.0130397,-11.374315,,,,,Providence Baptist Church,,,LR
92,7.9130246,-9.4565061,,,,,Borkeza Moslem Council,,,GN
93,8.3570794,-10.209525,,,,,Mission,,,SL
94,8.2311886,-10.1612901,,,,,BAFFA,,,SL
95,8.232653,-10.1618208,,,,,Mr. Bongorlee N. Gbegbe,,,SL
96,7.9117043,-9.4574583,,,,,Pastor Samson Y.Jones,,,GN
97,8.4210504,-9.7559023,,,,,Ministry of Education,,,LR
98,7.1944634,-9.2051362,,,,,Government,,,LR
99,8.3578545,-10.2144527,,,,,Ministry of Education,,,SL
100,8.3588098,-10.2152252,,,,,private,,,SL
101,8.2316933,-10.1581973,,,,,private,,,SL
102,8.3595104,-10.2114487,,,,,Mission School,,,SL
103,8.4177922,-9.7575545,,,,,Church,,,LR
104,7.2334049,-9.16776,,,,,Ministry of Education,,,GN
105,8.062192,-10.506969,,,,,Ma.Vandey K. Brima,,,SL
106,7.8209795,-9.4652072,,,,,YMCA,,,GN
107,7.1948507,-9.2160804,,,,,Rev Jackson W When is war,,,LR
108,7.0119109,-11.3738108,,,,,private,,,LR
109,8.1768284,-10.2276315,,,,,Ministry of Education,,,SL
110,8.1607817,-10.2191619,,,,,Amadu M. Kamara,,,SL
111,7.9628135,-9.5430478,,,,,Christian Revial,,,GN
112,7.7140961,-9.385457,,,,,Ministry of Education,,,GN
113,8.3669726,-10.2067816,,,,,Mariam Munyah,,,SL
114,7.6457073,-10.5764544,,,,,Josehp Zuannah,,,SL
115,7.6219309,-9.4890598,,,,,Mission School,,,GN
116,8.175834,-10.2302705,,,,,Ministry of Education,,,SL
117,8.3463296,-10.2063014,,,,,Joseph Fayiah,,,SL
118,8.3546724,-10.2102723,,,,,private,,,SL
119,7.6178822,-9.4905055,,,,,private,,,GN
120,7.6126105,-9.4917206,,,,,Ministry of Education,,,GN
121,7.3579371,-8.7150299,,,,,church,,,LR
122,8.0624908,-10.504539,,,,,Joseph PN Gorilla,,,SL
123,7.0126883,-11.3749695,,,,,Providence Baptist Church,,,LR
124,8.3613468,-10.2152252,,,,,Mission School,,,SL
125,7.3777462,-8.7159026,,,,,Ottilee Thomson,,,LR
126,7.5736231,-8.5372558,,,,,Martin Duo,,,LR
127,7.3636799,-8.7081671,,,,,Mr.Patrick Dolo,,,LR
128,7.2612876,-9.437596,,,,,private,,,LR
129,8.3599981,-10.2084075,,,,,Fatonson Junish,,,SL
130,8.0628443,-10.5032748,,,,,Plan,,,SL
131,8.0625299,-10.5063191,,,,,government,,,SL
132,7.3765477,-8.7040887,,,,,Vehyipa Community,,,LR
133,8.4197524,-9.7503458,,,,,Sonnia m Deddeh,,,LR
134,8.4302337,-9.7620513,,,,,Voinjama Evengilelical Lutheran Church,,,LR
135,8.4164542,-9.7567617,,,,,church,,,LR
136,7.8211647,-9.4639505,,,,,James k Forkpa,,,GN
137,8.4209122,-9.7475125,,,,,Ministry of Education,,,LR
138,8.3585975,-10.2094551,,,,,Linda S. Fayiah,,,SL
139,7.2216618,-11.1748767,,,,,Ministry of Education,,,SL
140,7.7858224,-9.4287694,,,,,Elder Bddell,,,GN
141,7.7749348,-9.4378221,,,,,Luthrian School System In Liberia,,,GN
142,10.0471423,-11.7000665,4,1,1,none,government,tubewell,06:00-18:00,SL
143,8.5151676,-9.8573048,3,0,2,none,government,tubewell,08:00-14:00,LR
144,7.9627176,-9.5441671,,,,,Ministry of Education,,,GN
