,lat,lon,tags_bed_count,tags_doctors_num,tags_nurses_num,tags_electricity,tags_operator,tags_water_source,tags_opening_hours,Country
53,7.6067255,-8.6200271,8,,2,none,ngo,protected_spring,Mo-Fr 08:00-17:00,LR
54,8.4193948,-9.7503662,5,2,3,solar,government,piped,Mo-Fr 08:00-17:00,LR
55,7.2160312,-11.1064911,1,0,0,oil_lamp,private_profit,surface_water,24/7,SL
56,7.0000376,-11.294632,4,,2,solar,government,tubewell,Mo-Fr 08:00-16:00,LR
57,8.2209622,-10.1541567,5,0,2,solar,government,pub_tap,24/7,SL
58,6.9877699,-11.292572,1,,,flash_light,private_profit,tubewell,24/7,LR
59,7.9130326,-9.5175934,0,0,0,chanies_light,private_np,pump_water,"""by appointment""",GN
60,7.2575829,-9.3521118,1,,9,solar,,protected_spring,Mo-Fr 08:00-17:00,LR
61,7.5435714,-8.5645294,3,,2,none,private_np,protected_spring,"Mo-Fr 08:00-17:00, Sa, Su",LR
62,8.1757457,-10.232091,3,0,2,none,combination,pub_tap,Mo-Fr 08:00-17:00,SL
63,7.3079848,-11.1009979,1,,,lamp,private_profit,tubewell,24/7,SL
64,7.6191281,-9.4916993,8,0,11,solar,government,protected_well,Mo-Fr 08:00-17:00,GN
65,7.1972976,-9.1085243,,1,,none,private_profit,piped,24/7,GN
66,8.4617285,-9.6733654,1,0,2,solar,government,protected_well,Mo-Fr 08:00-17:00,LR
67,7.3712253,-9.3353169,,,7,generator,government,piped,Mo-Fr 08:00-17:00,GN
68,7.3643888,-8.7049188,0,0,20,generator,,piped,Mo-Fr 08:00-17:00,LR
69,6.9680899,-11.3099635,2,0,3,solar,government,pub_tap,,LR
70,7.3617859,-9.4997406,5,0,0,none,government,protected_well,"Mo-Fr 08:00-17:00, Sa, Su",GN
71,6.9682603,-11.309824,5,0,2,solar,government,pub_tap,Mo-Fr 08:00-17:00,LR
72,7.8803862,-9.5100403,0,0,0,none,private_profit,pump_water,"""by appointment""",GN
73,7.0736367,-8.9923096,7,,1,none,government,unprotected_well,"Mo-Fr 08:00-17:00, Sa, Su",LR
74,8.0623527,-10.4996038,18,0,8,generator,ngo,pub_tap,"Mo-Fr 08:00-17:00, Sa, Su",SL
75,7.883787,-9.4290161,0,0,0,none,private_np,hand_pump,"""by appointment""",GN
76,8.3616546,-10.2832031,3,0,2,solar,government,protected_well,24/7,SL
77,8.4419438,-9.9601056,7,0,2,solar,government,protected_well,Mo-Fr 08:00-17:00,LR
78,7.2300437,-8.9473396,1,1,,none,private_np,,"""by appointment""",LR
79,7.9137127,-9.5093536,1,0,0,none,private_profit,pump_water,"""by appointment""",GN
80,7.6550354,-9.4226271,10,1,9,solar,ngo,,,GN
81,7.6551045,-9.4229811,5,1,9,solar,ngo,protected_well,Mo-Fr 08:00-17:00,GN
82,7.8246092,-9.3981171,3,0,2,none,government,pump_water,Mo-Fr,GN
83,8.2339167,-10.2246666,2,0,1,solar,combination,pub_tap,24/7,SL
84,7.5748826,-8.5439301,3,,2,solar,,pub_tap,"Mo-Fr 08:00-17:00, Sa, Su",LR
85,6.9216554,-11.3880157,2,0,2,solar,government,pub_tap,24/7,LR
86,6.9727597,-11.4131534,2,0,1,none,private_profit,unprotected_spring,,LR
87,7.0232089,-11.2884522,1,,,none,private_np,pub_tap,24/7,LR
88,7.2378293,-11.131897,,,,lamp,,tubewell,,SL
89,7.3393128,-9.4997406,4,0,1,generator,private_profit,unprotected_spring,"Mo-Fr 08:00-17:00, Sa, Su",GN
90,7.4977704,-9.621824,5,0,7,solar,,protected_well,"Mo-Fr 08:00-17:00, Sa, Su",GN
91,7.5204269,-9.4798279,7,0,3,solar,,protected_well,"Mo-Fr 08:00-17:00, Sa, Su",GN
92,7.5442521,-9.5278931,5,0,7,solar,government,protected_well,"Mo-Fr 08:00-17:00, Sa, Su",GN
93,7.5456135,-8.5597229,8,,2,solar,private_profit,protected_spring,"Mo-Fr 08:00-17:00, Sa, Su",LR
94,7.6150393,-9.4935608,5,0,9,solar,government,protected_well,Mo-Fr 08:00-17:00,GN
95,7.8763052,-9.4866943,0,0,0,flash_light,private_np,pump_water,,GN
96,8.058401,-10.4943466,17,,,solar,,pub_tap,"Mo-Fr 08:00-17:00, Sa, Su",SL
97,8.3895068,-10.0662231,2,,2,solar,government,piped,Mo-Fr 08:00-17:00,GN
98,10.0471423,-11.7000665,4,1,1,none,government,tubewell,06:00-18:00,SL
99,8.5151676,-9.8573048,3,0,2,none,government,tubewell,08:00-14:00,LR
